Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
The Peace within You,NIL,Paul Brunton,Others,,ENGLISH,H2,2077,Paul Brunton Philosophic Foundation,1988,OTH- PB,,4033,,
The Philosophy of the Bhedabheda,By,P.N. Srinivasachari,Others,,English,5,1880,"Srinivasa Varadhachari & Co, Madras",1934,OTH-PNS,,4034,,
The Philosophy of Yoga,,Swami Jnanananda,Others,,English,,2216,"Pundit Siva Kishore Tiwari, Gujarat",1938,OTH- SwJ,,4035,,
The Practical Sanskrit-English Dictionary,NIL,Vaman Shivram Apte,Others,,Sanskrit & English,5,613,"Gopal Narayen & Others, Bombay",1924,OTH-VSS,,4036,,
The practice of Meditation,meditation,Swami Ritajananda,Others,,English,F3,3106,"Sri Ramakrishna Mutt, Madras",1996,OTH-SWR,,4037,,
The Prince of Ayodhya,NIL,D.S. Sarma,Others,,English,5,510,"Sri Ramakrishna Math, Mylapore, Madras",1946,OTH-DSS,,4038,,
The Prophet Of the Age,NIL,Swami Pranabanandaji,Others,,English,5,129,Bharat Sevasram Sangha,NA,OTH-SP,,4039,,
The Religious Life of India,The Saktas,Nicol Macnicol & Others,Others,,English,5,520,"Oxford University Press, Bombay & London",1933,OTH-NM,,4040,,
The Sadhana ,TheSadhya (The Means & The End),Swami Dayananda,Others,,English,5,1650,"Sri Gangadhareswar Trust, Rishikesh",1984,OTH-SD,,4041,,
The Saiva Paribhasha,Of Sri Sivagra Yogindrajnanasivacharya,H.R. Rangaswamy Iyengar & Others,Others,,Sanskrit,3,280,"The Government Branch Press, Mysore",1950,OTH- HRRI,,4042,,
The Saiva Siddhanta ,Theory of Knowledge,Dr. V. Ponniah,Others,,English,5,750,"The Annamalai University, Annamalainagar",1952,OTH-VP,,4043,,
The Samkhya Catechism,by,Srimad Vivekaprakasa Bramhachari,Others,,English,5,172,"Vivekaprakasha Bramhachari, Kapila Matha, Madhupur",1935,OTH-SVB,,4044,,
The Samkhya Sutras,Of Panchasikha & Other Ancient Sages,Jajneswar Ghosh,Others,,English,5,957,"Sanatkumar Ghosh, Bengal",1934,OTH-JG,,4045,,
The Saraswathi Mahal Series No-1- THE MUDRAKSHASANATANAKATH OF MAHADEVA,The Mudraraksasanta Kaktha of Mahadeva,Dr.V. Raghavan,Others,,English,5,429,"T.M.S.S.N. Library, Tanjore",1948,OTH- VRA,,4046,,
The Science of Pranayama,Nil,Swami Sivananda,Others,,English,8,3199,"Divine life Society, U.P. Himalayas",1984,OTH-SS,,4047,,
The Scientific Basis,,HH Swarupa Damodara Swami,Others,,English,,3334,"The Bhaktivedanta Book Trust, Mumbai",2005,OTH- HHSDSw,,4048,,
The Scientific Basis of krishna Consciousness,,Bhaktiswaroopa Damodara Swami,Others,,English,,3333,"The Bhaktivedanta Book Trust, Mumbai",1996,OTH-SDS,,4049,,
The Scourge of Charity,NA,Paul Richard,Others,,English,7,142,"Ganesh & Co, Madras",1921,OTH-PR,,4050,,
The sensitives,dynamics &Dangers,Paul Brunton,Others,,ENGLISH,H2,2073,Paul Brunton Philosophic Foundation,1987,OTH- PB,,4051,,
The Soul's Journey to its Destiny,Nil,Swami Ashokanada,Others,,English,6,2211,"Advaita Ashrma, Calcutta",1993,OTH-SA,,4052,,
The Story of Chinese Philosophy,NIL,Ch'u Chai with Winberg Chai,Others,,English,2,326,"The Washington Square Press, New York",1961,OTH- CCWC,,4053,,
The Supreme Epic of Devotion,,na,Others,,English,,941,na,na,OTH- NA,,4054,,
The Supreme Identity,An Essay on Oriental Metaphysic & the Christian Religion,Alan Watts,Others,,English,2,NIL,"Allegro Editions, New York",1950,OTH- AW/,,4055,,
The Tao Of Organization,The I ching For Group Dynamics,Thomas Cleary,Others,,English,5,NA,Shambala - Boston & London,1995,OTH-TC,,4056,,
The Teachings of Lord Kapila,Devotional literature,AC bhaktivedanta Swami Prabhupada,Others,,English,F4,2178,"Bhaktivedanta Book Trust, Bombay",1978,OTH-ACB,,4057,,
The Third Eye,NIL,Tessa TheoBald,Others,,English,5,NA,"Corgi Books-A Division Of Transworld Publishers, London",1965,OTH- TTHE,,4058,,
The Three Tatvas,Being The Criticism By Sir Ramanuja of the Theories Of Oneness,"Diwan Bahadur, V.K. Ramanujachari",Others,,English,5,1124,"Diwan Bahadur, V.K. Ramanujachari, @ Kumbakonam",1932,OTH-DB,,4059,,
The Topmost Yoga System,,A.C. Bhaktivedanta Swami Prabhupada,Others,,English,,3339,"The Bhaktivedanta Book Trust, Mumbai",2009,OTH-ACBSWP,,4060,,
The Ultimate Medicine,Teachings,Nisargadutta Maharaj,Others,,English,na,3426,Motilal Banarasidass,1996,OTH-NM,,4061,,
The Ultimate Satori,Bhakti ,Kanhaiya,Others,,English,F2,2799,"S.P.Barve, Pune",1996,OTHE-KA,,4062,,
The Uttara Gita,NIL,"B,K, Lehari",Others,,English,5,191,"Theosophical Publishing House, Adyar Madras",1933,OTH-BKL,,4063,,
The Venisamharana,Of  Bhatta Narayana,M.R. Kale,Others,,English,5,982,"Gopal Narayen & Co, Bombay",1936,OTH-MRK,,4064,,
The Way,Nil,H.V. Seshadri,Others,,English,2,NA,"Suruchi Prakashan Sansthan, New Delhi",1991,OTH- HVS,,4065,,
The Way To Divine,NIL,Swami Yatiswarananda,Others,,English,5,280,"Sri Sarada Sevika Mandali, Bangalore",1968,OTH-SY,,4066,,
The World As Power Reality,NIL,John Woodroffe,Others,,English,8,1105,"Ganesh & co, Madras",Na,OTH-JW,,4067,,
The Year of Awakening,Krishna Murthy,Mary Lutyens,Others,,english,6,2433,"Natrajan & Others, Madras ",1975,OTH-ML,,4068,,
TheEgo From Birth toRebirth,,Paul Brunton,Others,,ENGLISH,H2,2069,Paul Brunton Philosophic Foundation,1987,OTH-PB,,4069,,
Theory of karma,,Hirabhai Thakkar,Others,,English,,3375,"Haribhai Thakkar, Ahmedabad",1989,OTH- HT,,4070,,
TheTantraLoka Of ,"Abhinava Gupta,Vol-X",Rajanaka Jayaratha,Others,,Sanskrit & English,3,NA,"Maharaj Narsinghji Bahadur, J&K",1933,OTH-,,4071,,
Time Management,Kalani Upayoginchukune Vidanamu,Dr. M. Sri Ramkrishna,Others,,Telugu,NA(I5),NIL,"Vishwa Karma Publications, Hyderabad",2013,OTH-,,4072,,
Tiru Arur Kamalalayamu,Sri Shivanidi Shivalayalu,Madavi,Others,,Telugu,NA,NA,Paret Kamunications Hyderabad,2020,OTH- Madavi,,4073,,
Tiru-Mantratha Kamanu Vyakhyanamu,Andhra Tika Tatparyamu,Vidvan Chakrapani ,Others,,Telugu,5,NA,"India Printing Works , Madras",1916,OTH- VC,,4074,,
Tiruchendur,,J.M.Somasundaram Pillai,Others,,English,,1037,"Addison Press, Madras",1948,OTH- JMSP,,4075,,
Training the Mind,Cultivating Loving Kindness,Chogyam Trungpa,Others,,English,,2979,"Shambhala Publications, Boston And London",1993,OTH-CT,,4076,,
True Knowledge,,S.Radhakrishnan,Others,,English,,1590,"Orient Paperbacks, New Delhi",1984,OTH-  SR,,4077,,
"TTD, Tirupati Tallapakam Series ",(The Works of Tallapakam Poets) Usha Kalyanamu,Pt. V. Vijaya Raghava Charyaa,Others,,Telugu,5,NA,"A.Ranganatha Mudaliar, TTD, Tirupati",1938,OTH- VVRC,,4078,,
Turn To God,NIL,C.L. Goswami,Others,,English,5,2080,"Govind Bhavan Karyalaya, Geeta Press Gorakhpur",1986,OTH-CLG,,4079,,
Tyaga Mahima,NIL,M. Ramakrishnayya,Others,,Telugu,C1,NIL,"Prabhata Press, Nellore",1952,OTH- MR,,4080,,
Upadeshasa Shastramu,NIL,P. Subramanya Sastri,Others,,Telugu,6,749,"The ""Vavilla"" & Others, Madras",1933,OTH-PSS,,4081,,
Upakhyana Mala,P. Hanumajjanki Sharma,C.P.Ramaswamy Aiyar,Others,,ENGLISH,6,956,"G.A.NATESAN & Others, MADRAS",1932,OTH-CPR,,4082,,
Upanyasa Prayogah:,Andhra Tatparya Sahitamu,Pt. A. Mahadeva Sastry,Others,,Telugu,NA,385,"Vasantha Institute , Madras",1941,OTH- AMS,,4083,,
Upavasa Dharmam,NIL,Dr. Mantela Satyanarayana Raj,Others,,Telugu,NA,4161,Krutrima Givanavidhanam,1998,OTH- MSR,,4084,,
Urdhva Mula,Roots on High,Lt.Col. A.S. Ramachandran,Others,,English,F4,2177,"TTD Devasthanam, Tirupathi",1990,OTH-,,4085,,
Uttama Brahma Vidyasar,NIL,Srinivasa Bhattacharya & Others,Others,,Telugu,5,1719,"Kavi Ranjani Press, Madras",NA,OTH- SB,,4086,,
Uttara Kalamrutham,NIL,Vemuri Suryanarayana Siddantha,Others,,Telugu,NA(J4),1318,"Aryananda Publishers, Machilipatanam",1934,OTH- VSS,,4087,,
Uttarahri Vashamu,NIL,Somantha,Others,,Telugu,NA(J2),NIL,"Vavilla Ramaswamy Sastrulu & Others, Chennai",1937,OTH-,,4088,,
Utthama Prashnalu- Utttama Samadhanalu,NIL,Dr. Tirumala Ramachandra & Others,Others,,Telugu,NA,NIL,"Bhakti Vedanta Book Trust, Hyderabad",1974,OTH-TR,,4089,,
Utthama Prashnalu- Utttama Samadhanalu,NIL,Dr. Tirumala Ramachandra & Others,Others,,Telugu,NA,NIL,"Bhakti Vedanta Book Trust, Hyderabad",1974,OTH- TR,,4090,,
Vaak Kshetram,Mee Vaaku Dosha Rahitham Ga Undali,Bharmarshi Prathji,Others,,Telugu,RRB1,NIL,"Dhyana Lahari Publications, Reddy And Reddy Colony, Tirupati",2007,OTH- BP,,4091,,
Vadali Kadali Theeraniki,Tribute To Dr.Vadali Mandeswara Rao,Vadali Venkata Viswanatham,Others,,Telugu,RRB1,3686,"Vadali Family Members, Prashanti Hills, Meerpet, Hyderabad",2012,OTH-VV,,4092,,
Vaidika -Manohara,NIL,P.B.Annangaracharya,Others,,Sanskrit,1,NIL (2nd Copy),"Jagadcharya P.B. Annangaracharya, L. Kancheepuram.",1944,OTH- PBAnSw,,4093,,
Vaidika -Manohara,NIL,P.B.Annangaracharya,Others,,Sanskrit,1,212,"Jagadcharya P.B. Annangaracharya, L. Kancheepuram.",1957,OTH- PBAnSw,,4094,,
Valya Sopanamu,NIL,Vedula Surya Satyanarayana,Others,,Telugu,5,1356,Rajayoga Sadhana Ashramam,NA,OTH-VSS,,4095,,
Vande Krishnam,NIL,Dr. K.V. Krishna Kumari,Others,,Telugu,NA,4183,"Sahithi Pubishers, Vijayawada",2014,OTH-KVK,,4096,,
Vasthavam,NIL,Chitta Damodar Sastry,Others,,Telugu,NA(J2),3265,"Jatiya Sahitya Parishat, Hyderabad",2007,OTH- CDS,,4097,,
Vastu Shatra Vivekam,Part-3,Madura Krishna Murthi Shari,Others,,Telugu,NA(J2),3263,"Juothishya Vidyana Kendram, Rajamandri",2003,OTH- MKMS,,4098,,
Vastu Shatra Vivekam,Part-1,Madura Krishna Murthi Shari,Others,,Telugu,NA I-6,3262,"Jothishya Vijyana Kendram,rajamandri",2003,OTH-MKMS,,4099,,
Veda-Chakshu,Manojyotir-vignan Shastramu-1,Dharmavaram Srikanthacharya,Others,,Telugu,D6,3334,"Dharmavaram Srikanthacharya, Mantralayam",2012,OTH- DSC,,4100,,
Vedanabhaikshuka- Vaibhava Naarsimham,Shatakadvya Samputi,Dr. Varanasi Bhikshamaiah Sarma,Others,,Telugu,NA(G6),NIL,"Smt. Varanasi AnantaLakshmi, Nalgonda",2006,OTH-VBS,,4101,,
Vedanta Sarvasvam,NIL,Vudigonda Venkata Ramasasri,Others,,Telugu,RRB2,3189,Vijayavada Trilingam,1979,OTH-VVR,,4102,,
Vedantha Bhomika,NIL,TatvavidaVidanandasaraswati,Others,,Telugu,M5,na,"Bramana Vidya Kutir,Sec",NA,OTH-,,4103,,
Vedasandeshamu,Part-1,P.V. Ramana Reddy,Others,,Telugu,NA J-5,2304,"Ashvini Narsing Home,narsaravpet",1995,OTH-PVR,,4104,,
Vedic Grammar For Students,Including A Chapter of Syntax & 3 Appendixes ,Arthur Antony Macdonell,Others,,English,2,1143,"Humphrey Milford, Oxford University Press,Madras, India",1916,OTH- AAM,,4105,,
Vedya Jyothisham,NIL,Akella Saraswathi,Others,,Telugu,NA(J2),3261,"Akela Krishnamurthi ,Hanumakonda",2011,OTH- AS,,4106,,
Veedeshal-LO Jyothishopanyasulu,NIL,Dr. C.V.B. Subbramaniyam,Others,,Telugu,NA(J4),3835,"Sri Gopal Publishers, Hyderabad",2000,OTH- CVBS,,4107,,
Veera Shaivananda Chandrika,NIL,Somasekhara Sastri,Others,,Sanskrit,3,74,"Sree Somasekhara Sastri, Hubli",1936,OTH- SS,,4108,,
Velugu Baata,Adyatmika Sadhanalu,Sri Satya Sai,Others,,Telugu,E3,3023,"Sri Satya Sai Seva Organisations, A.P.",1992,OTH- SSAI,,4109,,
Vemana ,NIL,Rallapali Anantakrishna Sharma,Others,,Telugu,6,718,Andhra Vishwa Kalaparishad,1945,OTH-RAS,,4110,,
Verses of the Divine Spiritual Life,Devotional literature,Swami Dayanand Giri Ji Maharaj,Others,,English,F4,2993,Devotees of Swami Maharaj,2010,OTH-SD,,4111,,
Verses of the Divine Spiritual Life,Spirituality,Swami Dayanand Giri Ji Maharaj,Others,,English,na,2879,Devotees of Swami Maharaj,2010,OTH- SwDG,,4112,,
Verses of the Spiritual Life,Bhakti ,Swami Dayanand Giri Ji Maharaj,Others,,English,F2,2963,"M/S. Ansari Printers, Delhi",2013,OTH-SwDGM,,4113,,
Verses of the Spiritual Life,Bhakti ,Swami Dayanand Giri Ji Maharaj,Others,,English,F2,2987,"M/S. Ansari Printers, Delhi",2013,OTH-SwDGM,,4114,,
Vicharamala,,Nochur Sri Venkataraman,Others,,English,,3460,"Rishi Teertham, Mahashakti Nagar, Tiruvannamalai",2016,OTH-NV,,4115,,
Vidura Niti,Ved Vyasa Slokas etc,Acharya S. Raghunatha Sharma,Others,,Telugu,A2,1548,"Arsha Vignana Trust, Hyderabad",1995,OTH- ASRS,,4116,,
Viduraniti,NIL,Kandlakota Alaha Singaracharylu,Others,,Telugu,NA(J6),3719,Balasaraswati Bakdi Madras,2005,OTH-KAS,,4117,,
Vidyun Mala,,Varnasi Veera Narayan Sharma,Others,,Telugu,C1,2778,"Shri Rama Krishna Prints, Miryalaguda",1984,OTH- VVNS,,4118,,
Vigra Haradanam,Gita Part-3,Sri Tirupati Venkateshwarlu,Others,,Telugu,8,1967,Sri Byrava Mudraksharam,1945,OTH-TVs,,4119,,
Vikasa Tarangalu,NIL,Janamaddi Hanumachsri Garu,Others,,Telugu,NA(J6),2819,Nichinta charitabul treste,2006,OTH-JH,,4120,,
Vikrama Vidya Ratnakaram,Vishnu Stuti,S. Sri Ramamena,Others,,Telugu,8,1375,Bala Murali Publishers,2001,OTH-SSR,,4121,,
Vira Puja,NIL,Sri Venkata Parvati Eshwara Kavi,Others,,Telugu,6,800,Andhra Pracharika Ltd.,1947,OTH-,,4122,,
Vishishta Jatakamulu,NIL,P. Srinivas Rao,Others,,Telugu,NA(J2),3254,"Rushi Publications, Vijayawada",2009,OTH-  PSR,,4123,,
Vishnusharma Kruta Aryaniti Saptati,Aryaniti,Paturi Sitaramanjaneyulu,Others,,Telugu,NA,4123,Sri Sai Press Hyderabad,2005,OTH- PS,,4124,,
Vishwa Karma Vaasthu Vidya Rahasyaalu,NIL,G. Veerabadra Charyulu,Others,,Telugu,NA(J2),3524,"Sri Gayathri Jyothish Vishwa Samstha, Hyderabad",2004,OTH- GV,,4125,,
Vishwa Nagar Vaibhavam,Upadeshalu,G. V. L.N. Vidyasagar Sarma,Others,,Telugu,C1,NIL,"Vishwamandiram, Guntur",1997,OTH-,,4126,,
Vishwa Premaik Murthy,Upadeshalu,Sri P. Ramgopala Rao,Others,,Telugu,C1,NIL,"Sri Lakshmi Press, Gutur.",1997,OTH-,,4127,,
Vishwachaitanyam Lo Satyadarshanam,Adhyatmika Vyasa Samputi,Kasturi Bhaskar Rao,Others,,Telugu,D6,2346,"Om Sai Graphics, Hyderabada",2005,OTH- KBR,,4128,,
Vishwam Bari,Part-2,Puli Pati Subba Rao,Others,,Telugu,C1,NIL,"Shri Lakshmi Ganapati Art Prints, Guntur",1999,OTH-,,4129,,
Vivaha Melapakm,Kujadosha Soband,C.V.B.Subrahmanyam,Others,,Telugu,NA(J2),3494,Jyothirvedarathna,2006,OTH- CVBS,,4130,,
Vivartha Vaad  Vivekamu,"The Theory of Illusions & Apperance, A Critique","Dr, L. Vijaya Gopal ",Others,,Telugu,NA,3500,"Prashanthi Printers, Tenali",1986,OTH-LVR,,4131,,
Viveka Jyothi,Hindi Baimasika,Swami Srikarananda,Others,,Hindi,3,NA,"Ramakrishna Mission, Vivekananda Ashram, Raipur (M.P.)",1989,OTH- SwS,,4132,,
Viveka Vishishta-Vijayopavasmu,Rational Conquest Fast,Dr. V. Lalita Devi & Others,Others,,Telugu,NA(J4),NIL,"Jai-Hind Press, Kurnool Distt",1965,OTH- VLD,,4133,,
Vivekanada Kendra Patrika,Facets of Swami Vivekannda-II,P.Parameshwaran,Others,,English,7,NA,"Vivekananda Trust, Chennai",2014,OTH-PP,,4134,,
Vivekanada Kendra Patrika,Vol-39,P.Parameshvaran,others,,English,7,2828,"Vivekananda Trust,Chennai",1981,OTH-PP,,4135,,
Vivekanada's Message To The Youth,NIL,V.K.R.V.RAO,Others,,English,8,Na,"Bhartiya Vidya Bhavan, Bombay",1970,OTH-SWVI,,4136,,
Vivekanandam,NIL,S.Suryanarayana Sastri,Others,,Telugu,6,548,"Oriented Press, Tenali",1949,OTH-SSS,,4137,,
Voterlaku Oka Mata,Padya,Ambatipudi Venkataratna & Others,Others,,Telugu,NA,4110,"Prajashakti Daily Printing Press, Hyderabad",2009,OTH-AV,,4138,,
Vyalamkara Sutra Vritti,Part-2,Ganganatha Jha,Others,,Telugu,6,967,"Varjinal Book Agency, Poona",1926,OTH- GJ,,4139,,
Vyapara Rangamlo,NIl,Saroja Prasad,Others,,telugu,NA I-6,2352,"Alakananda Prachuranalu,Vijayvada",2004,OTH-SP,,4140,,
Wanderings in the Himalayas,Experiences,Swami Tapovanam,Others,,English,F2,2302,"Central Chinmaya Mission Trust, Mumbai",1984,OTH-ST,,4141,,
Way To Divine Bliss,By,M.L. Pandey,Others,,English,5,118,"JayaDayal Goyandka, Geeta Press, Gorakhpur",1992,OTH-MLP,,4142,,
We are Not These Bodies- The Science of Soul,The Knowledge of Soul Based on Vedic Science),Dr. Ghana Kota Venkata Sastry,Others,,ENGLISH,RRB-2,2268,"Gauranga Nilayam Publications, Warangal",1994,OTH-GVS,,4143,0-9523484-9-7,
We Must Twenty-Two Notes On ,Self Perfection,Swami Chinmayananda,Others,,English,5,1647,"Central Chinmaya Mission Trust, Bombay",NA,OTH-SC,,4144,,
What Life has taught me,,R.R.Diwakar & S.Ramakrishnan,Others,,English,na,2597,"Bharatiya Vidya Bhavan, Mumbai",1975,OTH- RRD,,4145,,
What your Doctors Doesnt know about nutritional medicine,,Ray D.Strand,Others,,English,,na,Magna Publishing Co.Ltd,2003,OTH- RDS,,4146,,
When were you born?,Astrology,CHEIRO,Others,,English,,472,Herbert Jenkins Ltd- London,na,OTH- Cheiro,,4147,,
Whispers,Philosophy,J.P.Vasvani,Others,,English,na,3367,"Mira Publication, Poona",na,OTH-  JPV,,4148,,
Whispers from Eternity ,NIL,Sri Sri Paramahamsa Yogananada,Others,,English,5,217,Yogoda Satsanga Society Of India,1986,OTH-PY,,4149,,
Who Is Krishna?,By ,Kshetralal Saha,Others,,English,5,527,"Ganesh & Co., Madras",1930,OTH-KS,,4150,,
Why Mars and Venus Collide,HR,John Gray,Others,,English,,3007,"Harper Collins, India",2008,OTH-JG,,4151,,
Winning Formulas,To Become Successful Managers,A.R.K.Sarma,Others,,English,8,3097,"Viveka Hamsa Prakashana, Bengaluru",2010,OTH-ARKS,,4152,,
With the Swamis in America and India,Biography,Swami Atulyananda,Others,,English,F2,2088,"Advaita Ashrama, Calcutta",1997,OTH-SA,,4153,,
Yagnopavitha Tattva Darshanamu,NIL,A. Sri Rama Murthy Sastry,Others,,Telugu,RRB-2,2085,"Ajay Kallam, TTD, Tirupathi",2003,OTH-RMS,,4154,,
Yajushasmaratha Anukramanika,NIL,Chella Lakshminarasimha Sastry,Others,,Telugu,3,2544,"Sri Aryananda Publishers, Buchhapet",1987,OTH- ChLNS,,4155,,
Yamukalu Viriginappudu,NIL,K. S. Vasantha Lakshmi,Others,,Telugu,NA(J4),3794,"National Books Trust, N.Delhi",1996,OTH- KSVL,,4156,81-237-1738-5,
Yati Kulapati,NIL,Dr.P. Venkateshwara Rao,Others,,Telugu,RRB-2,3204,"Sri Siddeswara Peetam, T.N.",2011,OTH-DPR,,4157,,
Yatindramata Dipika,By,Srinivasa Dasa,Others,,English,5,722,"Sri Ramakrishna Matt, Mylapore, Madras",1949,OTH-SD,,4158,,
Yevvani Che,NIL,Satguru Subramaniyam,Others,,Telugu,D6,4102,"Sri Ramana Satsangamu, Chittoor Distt.",2016,OTH- SS,,4159,,
Yoga Sadana -Arogya Sidi,NIL,Sri viralananda Swami,Others,,Telugu,NA J-5,2790,"Malaya Sundara Pranavashramam,VIj",1986,OTH- VSw,,4160,,
Yoga ,An Instructions Booklet,NA,Others,,English,7,NA,"Vivekananda Trust, Madras",1979,OTH-,,4161,,
Yoga Arogya Pradipika,Nil,SuriRagavadikshitulu,Others,,Telugu,NA J-5,2789,Prasad Printars,1983,OTH-SR,,4162,,
Yoga Beyond Meditation,Yoga,Vimala Thakar,Others,,English,F3,2483,"Vimal Prakashan Trust, India",1998,OTH-VT,,4163,,
Yoga Chaitanya Pradeepak,Anushtaan Yoga Vedanta Grantham,Dr. R. Rama Rao,Others,,Telugu,RRB-2,3906,"Yoga Chaitanya Ramam, Vijayanagaram",2003,OTH-RRR,,4164,,
Yoga for Health,,N.S.Ravishenkar,Others,,English,9,na,Pustak Maha,2002,OTH- NSR,,4165,,
Yoga in Daily Life,,Dr. K.SubramanianJoshi,Others,,English,,3432,"Orient Paperbacks, Bombay",1991,OTH- KSJ,,4166,,
Yoga Jeevana Prakashika,"Sure Ways For Success in Life & God- Realization, Part-1",N. Venkata Subba Rao,Others,,Telugu,E4,2600,"Sri Anjaneya Paper Press, Yellore",1957,OTH- NVSR,,4167,,
Yoga Mitra Mandali,NIL,Sri Veturi Prabakara Sastri,Others,,Telugu,6,3306,"Mastar Apset Press, Vijayawada",2004,OTH-VP,,4168,,
Yoga Paripurnata,NIL,NIL,Others,,Telugu,D6,NIL,"Bhakti Vedanta Book Trust, Hyderabad",NIL,OTH-,,4169,,
Yoga Science and Art of Real Living,,Bhavani Prasad,Others,,English,F3,2229,"E.Bhavani Prasad, Cosmic Mission, Hyderabad",1978,OTH-BP,,4170,,
Yoga Taravali,NIL,V. Sri Ramachandra Murthy,Others,,Telugu,D6,4257,"VSR Foundation, Hyderabad",2016,OTH- VRM,,4171,,
Yogadarshanam,Patanjali Yogasutram,Tiruvengadacharyulu,Others,,Telugu,NA I-6,2055,"Sri Vyasashramamu, Chittoor",1991,OTH-TVs,,4172,,
Yogamrutam,NIL,P.Sundareshan Reddy,Others,,Telugu,NA I-6,2469,Malakpet Yogakendram Hyd,1993,OTH- PSR,,4173,,
Yogasana Vijnana,The Science of Yoga,Dhirendra Nath Pal,Others,,English,5,389,"Dhirendra Yoga Publications, J&K (India)",1966,OTH-DNP,,4174,,
Manasa Bodha,NIL,Sri Vidya Prakashananda Giri,Others ,,Telugu,NA,1565,"Sri Shukabramha Ashramam, Chittoor Distt.",1990,OTH-VPSw,,4175,,
Amruta Vahini ,"Puranaadi Suktulu, Part-2",NIL,Puranas,,Telugu,D5,3866,"Sarvodaya Ashramam, Hyderabad",1969,PUR- NA,,4176,,
Andhra Skandamu ,"Part-1, Maheswara Kandamu",K. Venkata Subramanya Deekshitulu,Puranas,,Telugu,D5,2682,"Sri Durga Printing & Publication House, Vijayawada",1959,PUR- KVSD,,4177,,
Andhra Skandamu ,"Part-1, Maheswara Kandamu",K. Venkata Subramanya Deekshitulu,Puranas,,Telugu,D5,2584,"Sri Durga Printing & Publication House, Vijayawada",1959,PUR- KVSD,,4178,,
Ashtadasha Puranamu,NIL,Prakhya Lakshmi Kanaka Durga,Puranas,,Telugu,NA(I5),3450,"Rushi Prachuralu, Vijayawada",2003,PUR-PL,,4179,,
Basava Puranamu,NIL,P.Somanath Kavi,Puranas,,Telugu,D5,2162,"Sri Dattasai Graphics,Hyderabad",2002,PUR- PSKa,,4180,,
Benaras Sanskrit Series-Collection of Sanskrit Works,Srimad Anubhashyam On Bramhasutra by,Sri Vallabhacharya & Others,Puranas,,Sanskrit,3,63,"Braj B.Das & Co, @ Vidya Vilas Press, Benares",1906,PUR- VCh,,4181,,
Benaras Sanskrit Series-Collection of Sanskrit Works,Srimad Anubhashyam On Bramhasutra by,Sri Vallabhacharya & Others,Puranas,,Sanskrit,3,274 (2nd Copy),"Braj B.Das & Co, @ Vidya Vilas Press, Benares",1906,PUR- VCh,,4182,,
Benaras Sanskrit Series-Collection of Sanskrit Works,Srimad Anubhashyam On Bramhasutra by,Sri Vallabhacharya & Others,Puranas,,Sanskrit,3,278 (3rd Copy),"Braj B.Das & Co, @ Vidya Vilas Press, Benares",1905,PUR- VCh,,4183,,
"Bhavishya Puranamu, Anukarnamu","Hare Ram Hare Ram, Hare Krishna Hare Krishna Mantram",K. Venkata Subramanya Deekshitulu,Puranas,,Telugu,D5,2232,"Sri Venkateswara Aarsha Bharati Trust, Hyderabad",NA,PUR- KVSD,,4184,,
"Bhavishya Puranamu, Anukarnamu","Hare Ram Hare Ram, Hare Krishna Hare Krishna Mantram",K. Venkata Subramanya Deekshitulu,Puranas,,Telugu,D5,2231,"Sri Venkateswara Aarsha Bharati Trust, Hyderabad",NA,PUR- KVSD,,4185,,
Bheemeswara Puranamu,NIL,K. Anapurnamma,Puranas,,Telugu,E1,1319,"British Model Press, Choolai, Madras",1929,PUR- KA,,4186,,
Bhrama suthrardha Chandrika (dwithiya samputam),Nil,Nil,Puranas,,Telugu,RRB1,NA,Vavilla Ramaswamy Sastrulu And Sons,1923,PUR-,,4187,,
Brahma Sutramulu,NIL,Ambatipudi Venkataratna & Others,Puranas,,Telugu,NA(G6),4041,"Karshaka Printers, Hyderabad",2011,PUR-AV,,4188,,
Brahma Sutras,,Swami Vireshwarananda,puranas,,English,,3298,"Advaita Ashrama, Kolkata",1996,PUR-  SwVire,,4189,,
Brahma Sutras,NIL,NA,Puranas,,English,7,1054,NA,NA,PUR-NA,,4190,,
Brahma Vidya Vyakayas Simhasanam,NIL,K.R.Venkataraman,Puranas,,Telugu,NA(J6),2209,akilabharata Shonkara Sevasamiti,1968,PUR-KRV,,4191,,
Bramha Puranamu,3rd Samputamu,Pt. N.Veeraraju ,Puranas,,Telugu,5,740,Sri Vidvajjana Manoranjini Publishers,NA,PUR-NV,,4192,,
Bramha Puranamu,Andhra Anuwada Sahitamu,Sri K. Venkata Subramaniyam Deekashitulu,Puranas,,Telugu,B2,2706,"Clear Prints,Hyderabd",1984,PUR- KVSD,,4193,,
Bramha Sutra-,Sri Bhashyam,Sri Uttamur Viraraghava Charya,Puranas,,Sanskrit,3,215,"Sreevathsa Press, Madras",1963,PUR- UVC,,4194,,
Bramha Vaivartta Puranam,"Containing Shri Krishna Janma Khanda, Vol-2",Maharshi Veda Vyasa,Puranas,,Sanskrit,3,340,"Gopal Printing Works, Calcutta",1955/2012,PUR- MVV,,4195,,
